Num_Nodos;Num_Procesos;Tipo_Proceso;Identificador;T_In;T_Out;T_Dif
50;3;PAGO;-2113972672;13:24:02.602967;13:40:27.672633;985069666
50;3;PAGO;-2122365376;13:24:02.603183;13:42:07.681320;1085078137
50;3;PAGO;-2130758080;13:24:02.603384;13:43:47.689377;1185085993
50;3;PAGO;-2139150784;13:24:02.603587;13:45:27.697703;1285094116
50;3;PAGO;2147423808;13:24:02.603775;13:47:07.704377;1385100602
50;3;PAGO;2139031104;13:24:02.603983;13:48:47.710509;1485106526
50;3;PAGO;2130638400;13:24:02.604238;13:50:27.717078;1585112840
50;3;PAGO;2122245696;13:24:02.604426;13:52:07.721921;1685117495
50;3;PAGO;2113852992;13:24:02.605840;13:53:47.727617;1785121777
50;3;PAGO;2105460288;13:24:02.606076;13:55:27.733913;1885127837
50;3;PAGO;2097067584;13:24:02.606194;13:57:07.744861;1985138667
50;3;PAGO;-929044928;13:24:01.597308;13:25:37.606465;96009157
50;3;PAGO;-937437632;13:24:01.597431;13:27:17.614729;196017298
50;3;PAGO;-945830336;13:24:01.597463;13:28:57.623602;296026139
50;3;PAGO;-954223040;13:24:01.597491;13:30:37.631732;396034241
50;3;PAGO;-962615744;13:24:01.597519;13:32:17.637270;496039751
50;3;PAGO;-971008448;13:24:01.597546;13:33:57.644875;596047329
50;3;PAGO;-979401152;13:24:01.597577;13:35:37.653265;696055688
50;3;PAGO;-987793856;13:24:01.597603;13:37:17.660717;796063114
50;3;PAGO;-996186560;13:24:01.597635;13:38:57.665595;896067960
50;3;PAGO;-1004579264;13:24:01.597661;13:40:37.673532;996075871
50;3;RESERVA/ANULACION;-1012971968;13:24:01.597712;13:42:17.681910;1096084198
50;3;RESERVA/ANULACION;-1021364672;13:24:01.597740;13:43:57.689820;1196092080
50;3;RESERVA/ANULACION;-1029757376;13:24:01.597766;13:45:37.698698;1296100932
50;3;RESERVA/ANULACION;-1038150080;13:24:01.597796;13:47:17.705270;1396107474
50;3;RESERVA/ANULACION;-1046542784;13:24:01.597822;13:48:57.711152;1496113330
50;3;RESERVA/ANULACION;-1054935488;13:24:01.597848;13:50:37.717456;1596119608
50;3;RESERVA/ANULACION;-1063328192;13:24:01.597873;13:52:17.722264;1696124391
50;3;RESERVA/ANULACION;-1071720896;13:24:01.597899;13:53:57.728689;1796130790
50;3;RESERVA/ANULACION;-1080113600;13:24:01.597926;13:55:37.735239;1896137313
50;3;RESERVA/ANULACION;-1088506304;13:24:01.597937;13:57:17.745310;1996147373
50;3;PAGO;1302324800;13:24:01.601858;13:25:47.607073;106005215
50;3;PAGO;1293932096;13:24:01.601966;13:27:27.615347;206013381
50;3;PAGO;1285539392;13:24:01.602080;13:29:07.624368;306022288
50;3;PAGO;1277146688;13:24:01.602286;13:30:47.632341;406030055
50;3;PAGO;1268753984;13:24:01.602484;13:32:27.637549;506035065
50;3;PAGO;1260361280;13:24:01.602715;13:34:07.645373;606042658
50;3;PAGO;1251968576;13:24:01.602914;13:35:47.654556;706051642
50;3;PAGO;1243575872;13:24:01.603110;13:37:27.661145;806058035
50;3;PAGO;1235183168;13:24:01.603297;13:39:07.666034;906062737
50;3;PAGO;1226790464;13:24:01.603476;13:40:47.673868;1006070392
50;3;RESERVA/ANULACION;1218397760;13:24:01.603700;13:42:27.682991;1106079291
50;3;RESERVA/ANULACION;1210005056;13:24:01.603883;13:44:07.690190;1206086307
50;3;RESERVA/ANULACION;1201612352;13:24:01.604087;13:45:47.699044;1306094957
50;3;RESERVA/ANULACION;1193219648;13:24:01.604262;13:47:27.706195;1406101933
50;3;RESERVA/ANULACION;1184826944;13:24:01.604433;13:49:07.711988;1506107555
50;3;RESERVA/ANULACION;1176434240;13:24:01.606013;13:50:47.717781;1606111768
50;3;RESERVA/ANULACION;1168041536;13:24:01.606252;13:52:27.722640;1706116388
50;3;RESERVA/ANULACION;1159648832;13:24:01.606433;13:54:07.729026;1806122593
50;3;RESERVA/ANULACION;1151256128;13:24:01.606605;13:55:47.736694;1906130089
50;3;RESERVA/ANULACION;1142863424;13:24:01.606726;13:57:27.746394;2006139668
50;3;PAGO;1841292864;13:24:01.600930;13:25:57.607575;116006645
50;3;PAGO;1832900160;13:24:01.600982;13:27:37.616199;216015217
50;3;PAGO;1824507456;13:24:01.601012;13:29:17.625226;316024214
50;3;PAGO;1816114752;13:24:01.601045;13:30:57.632679;416031634
50;3;PAGO;1807722048;13:24:01.601071;13:32:37.639060;516037989
50;3;PAGO;1799329344;13:24:01.601096;13:34:17.645963;616044867
50;3;PAGO;1790936640;13:24:01.601127;13:35:57.656451;716055324
50;3;PAGO;1782543936;13:24:01.601152;13:37:37.661456;816060304
50;3;PAGO;1774151232;13:24:01.601179;13:39:17.666844;916065665
50;3;PAGO;1765758528;13:24:01.601205;13:40:57.674540;1016073335
50;3;RESERVA/ANULACION;1757365824;13:24:01.601230;13:42:37.684229;1116082999
50;3;RESERVA/ANULACION;1748973120;13:24:01.601254;13:44:17.691241;1216089987
50;3;RESERVA/ANULACION;1740580416;13:24:01.601280;13:45:57.699659;1316098379
50;3;RESERVA/ANULACION;1732187712;13:24:01.601308;13:47:37.706737;1416105429
50;3;RESERVA/ANULACION;1723795008;13:24:01.601334;13:49:17.712617;1516111283
50;3;RESERVA/ANULACION;1715402304;13:24:01.601359;13:50:57.718224;1616116865
50;3;RESERVA/ANULACION;1707009600;13:24:01.601387;13:52:37.724012;1716122625
